14 59 38 104836 0 12354
14 59 38 154021 0 12404
14 59 38 207283 0 12454
14 59 38 256412 0 12504
14 59 38 305642 0 12554
14 59 38 354744 0 12604
14 59 38 408046 0 12654
14 59 38 457751 0 12704
14 59 38 507019 0 12754
14 59 38 555416 0 12804
14 59 38 604647 0 12854
14 59 38 657657 0 12904
14 59 38 706940 0 12954
14 59 38 756222 0 13004
14 59 38 805334 0 13054
14 59 38 854412 0 13104
14 59 38 907593 0 13154
14 59 38 956803 0 13204
14 59 39 6007 0 13254
14 59 39 55740 0 13304
14 59 39 109166 0 13355
14 59 39 158283 0 13405
