15 21 5 405012 5
15 21 11 356175 2 58175
15 21 17 307865 2 58225
15 21 23 260533 2 58275
15 21 23 690198 2 58326
15 21 24 119988 2 58376
15 21 24 549175 
15 21 24 979907 2 57725
15 21 25 410519 2 57775
15 21 25 840031 2 57825
15 21 26 270854 2 57875
15 21 26 700369 2 57925
15 21 27 131388 2 57975
15 21 27 559571 2 58025
15 21 27 989797 2 58075
15 21 28 419677 2 58125
15 21 28 850091 2 58175
15 21 29 280290 2 58225
15 21 29 710116 2 58275
15 21 30 140089 2 58326
15 21 30 570092 2 58376
15 21 31 476 0 1999
15 21 31 430250 0 2049
15 21 33 424149 0 2099
15 21 33 852951 0 2149
15 21 34 283185 0 2199
15 21 34 712658 0 2249
15 21 35 142626 0 2299
15 21 35 573271 0 2349
15 21 36 3436 0 2399
15 21 36 433102 0 2449
15 21 36 862531 0 2499
15 21 37 292288 0 2549
15 21 37 722918 0 2599
15 21 38 153340 0 2649
15 21 38 583768 0 2699
15 21 39 13227 0 2749
15 21 39 443350 0 2799
15 21 39 873684 0 2849
15 21 40 303732 0 2899
15 21 43 280230 0 2949
15 21 46 256330 0 2999
15 21 49 232630 0 3049
15 21 52 208486 0 3099
15 21 55 184184 0 3149
15 21 58 159768 0 3200
15 22 1 135534 0 3250
15 22 7 86881 0 3300
