8 57 14 62631 1 12154
8 57 14 112237 1 12204
8 57 14 160932 1 12254
8 57 14 210239 1 12304
8 57 14 259405 1 12354
8 57 14 312847 1 12404
8 57 14 361958 1 12454
8 57 14 410928 1 12504
8 57 14 460019 1 12554
8 57 14 513155 1 12604
8 57 14 562342 1 12654
8 57 14 611697 1 12704
8 57 14 661038 1 12754
8 57 14 710178 1 12804
8 57 14 763094 1 12854
8 57 14 812612 1 12904
8 57 14 861408 1 12954
8 57 14 910770 1 13004
8 57 14 963731 1 13054
8 57 15 13181 1 13104
8 57 15 62418 1 13154
8 57 15 111703 1 13204
8 57 15 160507 1 13254
8 57 15 213961 1 13304
8 57 15 262807 1 13355
8 57 15 312158 1 13405
8 57 15 361331 1 13455
8 57 15 414629 1 13505
8 57 15 463525 0 13555
8 57 15 513074 0 13605
8 57 15 562118 0 13655
8 57 15 611133 0 13705
8 57 15 664545 0 13755
8 57 15 713745 0 13805
8 57 15 762512 0 13855
8 57 15 815894 0 13905
8 57 15 865054 0 13955
8 57 15 914422 0 14005
8 57 15 963438 0 14055
8 57 16 12765 0 14105
8 57 16 65607 0 14155
8 57 16 115289 0 14205
8 57 16 164307 0 14255
8 57 16 213483 0 14305
8 57 16 262329 0 14355
8 57 16 315578 0 14405
8 57 16 364852 0 14455
8 57 16 414188 0 14505
8 57 16 463116 0 14555
8 57 16 512371 0 14605
8 57 16 565549 0 14655
8 57 16 614854 0 14705
8 57 16 663712 0 14755
8 57 16 712938 0 14806
8 57 16 766278 0 14856
8 57 16 815325 0 14906
8 57 16 864791 0 14956
8 57 16 913983 0 15006
8 57 16 967165 0 15056
8 57 17 16163 -1 15106
8 57 17 65173 -1 15156
8 57 17 114653 -1 15206
8 57 17 167435 -1 15256
8 57 17 217113 -1 15306
8 57 17 265944 -1 15356
8 57 17 315378 -1 15406
8 57 17 364486 -1 15456
8 57 17 417571 -1 15506
8 57 17 466797 -1 15556
8 57 17 516125 -1 15606
8 57 17 565187 -1 15656
8 57 17 614230 -1 15706
8 57 17 667234 -1 15756
8 57 17 716562 -1 15806
8 57 17 765889 -1 15856
8 57 17 815240 -1 15906
8 57 17 868334 -1 15956
8 57 17 917473 -1 16006
8 57 17 966361 -1 16056
8 57 18 15742 -1 16106
8 57 18 64712 -1 16156
8 57 18 118265 -1 16206
8 57 18 167382 -1 16256
8 57 18 216399 -1 16306
8 57 18 265842 -1 16356
8 57 18 315007 -1 16406
8 57 18 367839 -1 16456
8 57 18 417198 -1 16506
8 57 18 466267 -1 16556
8 57 18 515782 -1 16606
8 57 18 568560 -1 16656
8 57 18 617775 -1 16706
8 57 18 666857 -1 16756
8 57 18 716365 -1 16806
8 57 18 765009 -1 16856
8 57 18 818298 -1 16906
8 57 18 867591 -1 16956
8 57 18 917104 -1 17006
8 57 18 966118 -1 17056
8 57 19 19220 -1 17106
8 57 19 68121 -1 17156
8 57 19 117536 -1 17206
8 57 19 166774 -1 17256
8 57 19 215797 -1 17306
8 57 19 269305 -1 17356
8 57 19 318446 -1 17406
8 57 19 367403 -1 17456
8 57 19 416707 -1 17506
8 57 19 465879 -1 17556
8 57 19 519148 -1 17606
8 57 19 568152 -1 17656
8 57 19 617321 -1 17707
8 57 19 666568 -1 17757
8 57 19 719586 -1 17807
8 57 19 768786 -1 17857
8 57 19 818122 -1 17907
8 57 19 871222 -1 17957
8 57 19 920027 -1 18007
8 57 19 969694 -1 18057
8 57 20 18615 -1 18107
8 57 20 67701 -1 18157
8 57 20 120872 -1 18207
8 57 20 170305 -1 18257
8 57 20 219720 -1 18307
8 57 20 268433 -1 18357
8 57 20 317624 -1 18407
8 57 20 371114 -1 18457
8 57 20 420318 -1 18507
8 57 20 469135 -1 18557
8 57 20 518418 -1 18607
8 57 20 567606 -1 18657
8 57 20 620751 -1 18707
8 57 20 670160 -1 18757
8 57 20 719305 -1 18807
8 57 20 768385 -1 18857
8 57 20 817698 -1 18907
8 57 20 870608 -1 18957
8 57 20 920052 -1 19007
8 57 20 969167 -1 19057
8 57 21 18168 -1 19107
8 57 21 71300 -1 19158
8 57 21 120655 -1 19208
8 57 21 169699 -1 19258
8 57 21 222926 -1 19308
8 57 21 272034 -1 19358
8 57 21 321504 -1 19408
8 57 21 370647 -1 19458
8 57 21 419548 -1 19508
8 57 21 472823 -1 19558
8 57 21 522023 0 19608
8 57 21 571193 0 19658
8 57 21 620540 0 19708
8 57 21 669475 0 19758
8 57 21 722793 0 19808
8 57 21 771861 0 19858
8 57 21 820935 0 19908
8 57 21 870325 0 19958
8 57 21 923590 0 20008
8 57 21 972467 0 20058
8 57 22 21793 0 20108
8 57 22 70737 0 20158
8 57 22 120153 0 20208
8 57 22 173425 0 20258
8 57 22 222311 0 20308
8 57 22 271417 0 20358
8 57 22 320960 0 20408
8 57 22 369798 0 20458
8 57 22 423115 0 20508
8 57 22 472123 0 20558
8 57 22 521648 0 20608
8 57 22 570674 0 20658
8 57 22 623577 0 20708
8 57 22 672875 0 20758
8 57 22 722345 0 20808
8 57 22 771119 0 20858
8 57 22 820461 0 20908
8 57 22 873714 0 20958
8 57 22 922860 0 21008
8 57 22 971973 0 21058
8 57 23 21352 0 21108
8 57 23 74167 0 21158
8 57 23 123277 0 21208
8 57 23 172714 0 21258
8 57 23 221986 0 21308
8 57 23 271077 0 21358
8 57 23 324492 0 21408
8 57 23 373310 0 21458
8 57 23 422409 0 21508
8 57 23 471731 0 21558
8 57 23 521025 0 21608
8 57 23 574416 0 21658
8 57 23 623556 0 21708
8 57 23 672459 0 21758
8 57 23 721644 0 21808
8 57 23 770730 0 21858
8 57 23 823937 0 21908
8 57 23 873246 0 21958
8 57 23 922356 0 22008
8 57 23 975434 0 22059
8 57 24 24502 0 22109
8 57 24 73830 0 22159
8 57 24 122949 0 22209
8 57 24 176369 0 22259
8 57 24 225607 0 22309
8 57 24 274840 0 22359
8 57 24 323567 0 22409
8 57 24 373341 0 22459
8 57 24 426033 0 22509
8 57 24 475573 0 22559
8 57 24 524256 0 22609
8 57 24 573532 0 22659
8 57 24 622930 0 22709
8 57 24 675902 0 22759
8 57 24 725023 0 22809
8 57 24 774377 0 22859
8 57 24 823454 0 22909
8 57 24 872827 0 22959
8 57 24 926166 0 23009
8 57 24 975171 0 23059
8 57 25 24351 0 23109
8 57 25 73305 0 23159
8 57 25 126716 0 23209
8 57 25 176020 0 23259
8 57 25 224977 0 23309
8 57 25 274140 0 23359
8 57 25 327066 0 23409
8 57 25 376860 0 23459
8 57 25 425439 0 23510
8 57 25 474952 0 23560
8 57 25 528130 0 23610
8 57 25 577149 0 23660
8 57 25 626475 0 23710
8 57 25 675486 0 23760
8 57 25 724593 0 23810
8 57 25 777823 0 23860
8 57 25 827188 0 23910
8 57 25 876261 0 23960
8 57 25 925473 0 24010
8 57 25 978513 0 24060
8 57 26 27664 0 24110
8 57 26 77088 0 24160
8 57 26 125915 0 24210
8 57 26 175231 0 24260
8 57 26 228686 0 24310
8 57 26 277650 0 24360
8 57 26 327099 0 24410
8 57 26 376016 0 24460
8 57 26 425001 0 24510
8 57 26 478405 0 24560
8 57 26 527359 0 24610
8 57 26 576743 0 24660
8 57 26 625778 -1 24710
8 57 26 678713 -1 24760
8 57 26 728166 -1 24810
8 57 26 777463 -1 24860
8 57 26 826344 -1 24910
8 57 26 875679 -1 24960
8 57 26 928769 -1 25010
8 57 26 978059 -1 25060
8 57 27 27102 -1 25110
8 57 27 76236 -1 25160
8 57 27 129414 -1 25210
8 57 27 178726 -1 25260
8 57 27 227863 -1 25310
8 57 27 277056 -1 25360
8 57 27 326391 -1 25410
8 57 27 379586 -1 25460
8 57 27 428517 -1 25510
8 57 27 477717 -1 25560
8 57 27 526829 -1 25610
8 57 27 576126 -1 25660
8 57 27 629203 -1 25710
8 57 27 678482 -1 25760
8 57 27 727726 -1 25810
8 57 27 776801 -1 25860
8 57 27 829897 -1 25910
8 57 27 879296 -1 25960
8 57 27 928307 -1 26010
8 57 27 977480 -1 26060
8 57 28 30468 -1 26110
8 57 28 79629 -1 26160
8 57 28 129236 -1 26210
8 57 28 178420 -1 26260
8 57 28 227432 -1 26310
8 57 28 280496 -1 26360
8 57 28 329739 -1 26411
8 57 28 379045 -1 26461
8 57 28 428016 -1 26511
8 57 28 481143 -1 26561
8 57 28 530392 -1 26611
8 57 28 579658 -1 26661
8 57 28 628799 -1 26711
8 57 28 677989 -1 26761
8 57 28 731041 -1 26811
8 57 28 780500 -1 26861
8 57 28 829419 -1 26911
8 57 28 878741 -1 26961
8 57 28 927678 -1 27011
8 57 28 981309 -1 27061
8 57 29 30056 -1 27111
8 57 29 79438 -1 27161
8 57 29 128424 -1 27211
8 57 29 182036 -1 27261
8 57 29 230952 -1 27311
8 57 29 280109 -1 27361
8 57 29 329192 -1 27411
8 57 29 382273 -1 27461
8 57 29 431541 -1 27511
8 57 29 480864 -1 27561
8 57 29 529887 -1 27611
8 57 29 579190 -1 27661
8 57 29 632290 -1 27711
8 57 29 682003 -1 27761
8 57 29 730607 -1 27811
8 57 29 779906 -1 27862
8 57 29 833153 -1 27912
8 57 29 882374 -1 27962
8 57 29 931670 -1 28012
8 57 29 980590 -1 28062
8 57 30 33705 -1 28112
8 57 30 82804 -1 28162
8 57 30 132291 -1 28212
8 57 30 181483 -1 28262
8 57 30 230529 -1 28312
8 57 30 283764 -1 28362
8 57 30 332896 -1 28412
8 57 30 382286 -1 28462
8 57 30 431079 -1 28512
8 57 30 480338 -1 28562
8 57 30 533530 -1 28612
8 57 30 583017 -1 28662
8 57 30 631768 -1 28712
8 57 30 681071 -1 28762
8 57 30 734024 -1 28812
8 57 30 783473 -1 28862
8 57 30 832604 -1 28912
8 57 30 881673 -1 28962
8 57 30 934782 -1 29012
8 57 30 983931 0 29062
8 57 31 33415 1 29112
8 57 31 82454 1 29162
8 57 31 131611 1 29212
8 57 31 184866 1 29262
8 57 31 234095 1 29312
8 57 31 283471 1 29362
8 57 31 332152 1 29412
8 57 31 381492 1 29462
8 57 31 434421 1 29512
8 57 31 484275 1 29562
8 57 31 533137 1 29612
8 57 31 582356 1 29662
8 57 31 631556 1 29712
8 57 31 684824 1 29762
8 57 31 733581 1 29812
8 57 31 783088 1 29862
8 57 31 831913 1 29912
8 57 31 881400 1 29962
8 57 31 934243 1 30012
8 57 31 983670 1 30062
8 57 32 32889 1 30112
8 57 32 85959 1 30162
8 57 32 134931 1 30212
8 57 32 184470 1 30262
8 57 32 233395 1 30312
8 57 32 282628 1 30362
